,PCB Thicknesses,Force
0,0.2,-4.895066876886443
1,0.3,-4.75802844321626
2,0.4,-4.613522490160972
3,0.6,-4.3890975439430555
4,0.8,-4.270915197474569
5,1.0,-4.077722256064582
6,1.2,-3.922816866260495
7,1.6,-3.684585556994508
