#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D28C
#Date Time: 2023-02-25 12:02:52.959
#Sample rate: 800Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 mV/div Offset: -2.615 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Sweep
#Type: Square
#Frequency: 5 Hz
#Period: 200 ms
#Amplitude: 2 V
#Offset: 2 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: DC
#Offset: 0 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

#49E sensor
#Nominal sensitivity: 1.6 mV/GS
#PCB Coil Drive: 1.6A, 5Hz, full stepping
#
Time (s),Channel 1 (V)
-5,2.630431018425965
-4.99875,2.630431018425965
-4.9975,2.631779032363936
-4.99625,2.632116035848429
-4.995,2.632116035848429
-4.99375,2.632790042817414
-4.9925,2.630768021910458
-4.99125,2.630431018425965
-4.99,2.630431018425965
-4.98875,2.630768021910458
-4.9875,2.630431018425965
-4.98625,2.631779032363936
-4.985,2.631779032363936
-4.98375,2.630431018425965
-4.9825,2.630094014941473
-4.98125,2.631442028879444
-4.98,2.632116035848428
-4.97875,2.631779032363936
-4.9775,2.633127046301907
-4.97625,2.631105025394951
-4.975,2.630431018425965
-4.97375,2.630431018425965
-4.9725,2.630768021910458
-4.97125,2.630768021910458
-4.97,2.631442028879444
-4.96875,2.631779032363936
-4.9675,2.630431018425965
-4.96625,2.630431018425965
-4.965,2.630431018425965
-4.96375,2.631779032363936
-4.9625,2.631779032363936
-4.96125,2.632453039332921
-4.96,2.632116035848429
-4.95875,2.630431018425965
-4.9575,2.630094014941473
-4.95625,2.630768021910458
-4.955,2.630768021910458
-4.95375,2.630431018425965
-4.9525,2.632790042817413
-4.95125,2.631105025394951
-4.95,2.617961889499735
-4.94875,2.612569833747855
-4.9475,2.614254851170316
-4.94625,2.614591854654809
-4.945,2.614254851170316
-4.94375,2.614591854654808
-4.9425,2.612569833747852
-4.94125,2.612569833747852
-4.94,2.612569833747852
-4.93875,2.612906837232345
-4.9375,2.613243840716838
-4.93625,2.613917847685823
-4.935,2.614254851170315
-4.93375,2.61223283026336
-4.9325,2.61223283026336
-4.93125,2.613243840716837
-4.93,2.614254851170316
-4.92875,2.613917847685823
-4.9275,2.615265861623794
-4.92625,2.61358084420133
-4.925,2.612569833747852
-4.92375,2.61223283026336
-4.9225,2.61223283026336
-4.92125,2.612906837232345
-4.92,2.613243840716838
-4.91875,2.614591854654809
-4.9175,2.612569833747853
-4.91625,2.612569833747852
-4.915,2.612906837232345
-4.91375,2.614254851170316
-4.9125,2.613917847685824
-4.91125,2.614928858139301
-4.91,2.614591854654809
-4.90875,2.612569833747853
-4.9075,2.61223283026336
-4.90625,2.612906837232345
-4.905,2.612906837232345
-4.90375,2.612569833747853
-4.9025,2.614254851170316
-4.90125,2.61358084420133
-4.9,2.61223283026336
-4.89875,2.61223283026336
-4.8975,2.613917847685823
-4.89625,2.614591854654809
-4.895,2.615265861623794
-4.89375,2.614254851170316
-4.8925,2.612906837232345
-4.89125,2.61223283026336
-4.89,2.61223283026336
-4.88875,2.612906837232345
-4.8875,2.612906837232345
-4.88625,2.614591854654808
-4.885,2.615265861623794
-4.88375,2.61223283026336
-4.8825,2.61223283026336
-4.88125,2.613243840716838
-4.88,2.614254851170316
-4.87875,2.613917847685823
-4.8775,2.614928858139301
-4.87625,2.61358084420133
-4.875,2.612569833747852
-4.87375,2.612569833747852
-4.8725,2.612906837232345
-4.87125,2.612906837232345
-4.87,2.613243840716838
-4.86875,2.614591854654808
-4.8675,2.612569833747852
-4.86625,2.61223283026336
-4.865,2.612569833747852
-4.86375,2.614591854654809
-4.8625,2.614254851170316
-4.86125,2.613917847685823
-4.86,2.614591854654808
-4.85875,2.61223283026336
-4.8575,2.61223283026336
-4.85625,2.612569833747852
-4.855,2.612906837232345
-4.85375,2.612906837232345
-4.8525,2.615602865108287
-4.85125,2.613243840716838
-4.85,2.60616676754249
-4.84875,2.60347073966655
-4.8475,2.605155757089013
-4.84625,2.605492760573506
-4.845,2.605829764057999
-4.84375,2.606166767542491
-4.8425,2.603807743151042
-4.84125,2.60347073966655
-4.84,2.603133736182057
-4.83875,2.603807743151042
-4.8375,2.603807743151042
-4.83625,2.605155757089013
-4.835,2.605155757089013
-4.83375,2.603133736182057
-4.8325,2.60347073966655
-4.83125,2.604144746635535
-4.83,2.60717777799597
-4.82875,2.607514781480462
-4.8275,2.609199798902924
-4.82625,2.606503771026984
-4.825,2.605492760573506
-4.82375,2.605829764057999
-4.8225,2.606166767542491
-4.82125,2.605829764057999
-4.82,2.606503771026984
-4.81875,2.607514781480462
-4.8175,2.606166767542491
-4.81625,2.605492760573506
-4.815,2.605829764057999
-4.81375,2.607514781480462
-4.8125,2.607514781480462
-4.81125,2.607514781480462
-4.81,2.607514781480461
-4.80875,2.605492760573506
-4.8075,2.605829764057999
-4.80625,2.605492760573506
-4.805,2.606166767542491
-4.80375,2.605829764057999
-4.8025,2.608188788449447
-4.80125,2.606840774511476
-4.8,2.605492760573506
-4.79875,2.605829764057999
-4.7975,2.606840774511476
-4.79625,2.607514781480462
-4.795,2.607514781480462
-4.79375,2.608862795418433
-4.7925,2.605829764058
-4.79125,2.605829764057999
-4.79,2.605492760573506
-4.78875,2.606166767542491
-4.7875,2.606166767542492
-4.78625,2.606840774511477
-4.785,2.60717777799597
-4.78375,2.605492760573507
-4.7825,2.605829764057999
-4.78125,2.606503771026984
-4.78,2.607851784964955
-4.77875,2.60717777799597
-4.7775,2.608188788449447
-4.77625,2.606840774511477
-4.775,2.605829764057999
-4.77375,2.605492760573506
-4.7725,2.605829764057999
-4.77125,2.606166767542491
-4.77,2.606166767542492
-4.76875,2.608188788449447
-4.7675,2.605492760573506
-4.76625,2.605829764057999
-4.765,2.605492760573507
-4.76375,2.607514781480462
-4.7625,2.60717777799597
-4.76125,2.607514781480462
-4.76,2.607851784964955
-4.75875,2.605829764057999
-4.7575,2.605492760573506
-4.75625,2.605829764057999
-4.755,2.605829764057999
-4.75375,2.605829764057999
-4.7525,2.607851784964954
-4.75125,2.607851784964955
-4.75,2.61223283026336
-4.74875,2.614254851170316
-4.7475,2.616276872077272
-4.74625,2.616613875561765
-4.745,2.616950879046258
-4.74375,2.61728788253075
-4.7425,2.614928858139301
-4.74125,2.614928858139301
-4.74,2.614591854654809
-4.73875,2.614928858139301
-4.7375,2.615265861623794
-4.73625,2.615939868592779
-4.735,2.616613875561765
-4.73375,2.614928858139301
-4.7325,2.614591854654809
-4.73125,2.615265861623794
-4.73,2.616613875561765
-4.72875,2.616276872077272
-4.7275,2.616613875561765
-4.72625,2.615602865108287
-4.725,2.614928858139301
-4.72375,2.614928858139301
-4.7225,2.614928858139301
-4.72125,2.615265861623794
-4.72,2.615265861623794
-4.71875,2.617961889499735
-4.7175,2.614928858139301
-4.71625,2.614591854654809
-4.715,2.614591854654809
-4.71375,2.616276872077272
-4.7125,2.616613875561765
-4.71125,2.616613875561765
